epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5081.19,0.21979,0.64582,0.90287,0.89352,0.86458,0.93559,0.91508,0.35767,0.77509,0.45595,0.0005941,0.0005941,0.0005941
43,5134.65,0.21573,0.64366,0.90385,0.87936,0.86315,0.93338,0.9141,0.35578,1.08734,0.45646,0.0005842,0.0005842,0.0005842
44,5187.86,0.21494,0.64322,0.90148,0.87184,0.85466,0.92469,0.90626,0.30007,0.9353,0.44551,0.0005743,0.0005743,0.0005743
45,5234.75,0.21502,0.63945,0.90123,0.87517,0.84255,0.92141,0.90743,0.30187,0.88317,0.44274,0.0005644,0.0005644,0.0005644
46,5279.53,0.21767,0.63721,0.90069,0.8906,0.86311,0.93424,0.91539,0.35452,0.87749,0.45447,0.0005545,0.0005545,0.0005545
47,5325.13,0.2123,0.6137,0.9025,0.89334,0.87197,0.9386,0.92283,0.31819,0.92324,0.44822,0.0005446,0.0005446,0.0005446
48,5369.14,0.20783,0.60219,0.8995,0.88828,0.86279,0.93245,0.91654,0.31879,0.85702,0.45149,0.0005347,0.0005347,0.0005347
49,5410.19,0.21328,0.61281,0.90012,0.89669,0.86865,0.93776,0.91573,0.33828,0.75933,0.45774,0.0005248,0.0005248,0.0005248
50,5455.44,0.209,0.60971,0.90221,0.90064,0.87997,0.94126,0.92222,0.34535,0.94163,0.45137,0.0005149,0.0005149,0.0005149
51,5494.79,0.20568,0.60656,0.89918,0.89947,0.87824,0.9427,0.91878,0.33341,0.68413,0.45319,0.000505,0.000505,0.000505
52,5539.32,0.20769,0.60886,0.89934,0.89446,0.86484,0.93607,0.92029,0.32195,1.02907,0.44721,0.0004951,0.0004951,0.0004951
53,5577.38,0.2087,0.6012,0.89863,0.88161,0.86788,0.93559,0.90897,0.36533,0.72798,0.45967,0.0004852,0.0004852,0.0004852
54,5622.3,0.20549,0.59141,0.90092,0.90511,0.86954,0.94315,0.92595,0.3422,0.98336,0.45026,0.0004753,0.0004753,0.0004753
55,5666.35,0.19841,0.57945,0.89844,0.90578,0.8688,0.93813,0.91923,0.3002,1.00291,0.44973,0.0004654,0.0004654,0.0004654
56,5706.96,0.20093,0.57411,0.89925,0.90459,0.87638,0.9429,0.9235,0.33641,0.93216,0.45084,0.0004555,0.0004555,0.0004555
57,5749.04,0.19967,0.57704,0.89763,0.91413,0.87484,0.94911,0.92509,0.32405,1.03186,0.45138,0.0004456,0.0004456,0.0004456
58,5786.84,0.19586,0.56308,0.89937,0.90874,0.88984,0.95323,0.9328,0.31403,0.81387,0.45038,0.0004357,0.0004357,0.0004357
59,5825.88,0.19272,0.56052,0.89795,0.90319,0.87495,0.94229,0.91411,0.33782,0.86714,0.45464,0.0004258,0.0004258,0.0004258
60,5864.4,0.19701,0.56361,0.89823,0.9018,0.89695,0.94983,0.9296,0.32923,0.79088,0.45484,0.0004159,0.0004159,0.0004159
61,5902.97,0.19433,0.56029,0.89739,0.91879,0.88223,0.9456,0.91843,0.33337,0.89463,0.4538,0.000406,0.000406,0.000406
62,5939.17,0.1919,0.55229,0.89646,0.90639,0.89153,0.94781,0.92757,0.31861,0.81087,0.45014,0.0003961,0.0003961,0.0003961
63,5973.2,0.1912,0.55406,0.89599,0.90725,0.88012,0.94724,0.92572,0.3277,0.73441,0.45112,0.0003862,0.0003862,0.0003862
64,6010.22,0.18773,0.54519,0.89537,0.91083,0.89392,0.95245,0.92896,0.32084,0.88214,0.45168,0.0003763,0.0003763,0.0003763
65,6045.63,0.19009,0.54558,0.89559,0.91916,0.88775,0.95342,0.92448,0.31449,0.80358,0.45019,0.0003664,0.0003664,0.0003664
66,6079.79,0.18694,0.54069,0.89502,0.91214,0.89279,0.9502,0.92343,0.32395,0.75843,0.45289,0.0003565,0.0003565,0.0003565
